U	v	Z1	Z2	T	P	vf	x1	x2	y1	y2
16916.64285714286	0.002308272888888889	0.9319874316392327	0.06801256836076741	843.6352960641744	3071306.0807117247	1	0.6305321405659867	0.3694678594340133	0.9319874316392327	0.06801256836076741
16916.64285714286	0.002308272888888889	0.9199702347479396	0.08002976525206035	814.1191688398274	2963197.050468955	1	0.5588914200729505	0.4411085799270495	0.9199702347479396	0.08002976525206035
16916.64285714286	0.002308272888888889	0.907415826749346	0.09258417325065416	787.1448346353958	2864099.1775482455	1	0.4893915086767496	0.5106084913232505	0.907415826749346	0.09258417325065416
16916.64285714286	0.002308272888888889	0.8942873612123969	0.10571263878760319	762.3515058179078	2772682.2979430514	1	0.42383291728290723	0.5761670827170928	0.8942873612123969	0.10571263878760319
16916.64285714286	0.002308272888888889	0.8805445432153516	0.11945545678464838	739.4447293104179	2687853.355415403	1	0.3634860257574938	0.6365139742425062	0.8805445432153516	0.11945545678464838
16916.64285714286	0.002308272888888889	0.8661432162459994	0.1338567837540006	718.1820501226094	2608704.0474684215	1	0.30908770269550023	0.6909122973044999	0.8661432162459994	0.1338567837540006
16916.64285714286	0.002308272888888889	0.851034888261239	0.14896511173876117	698.3617392016987	2534469.431987679	1	0.26090839011645695	0.739091609883543	0.851034888261239	0.14896511173876117
16916.64285714286	0.0021462657777777776	0.9651397724218261	0.034860227578173995	952.6325406915869	3733648.9194332664	1	0.8352491439061495	0.16475085609385043	0.9651397724218261	0.034860227578173995
16916.64285714286	0.0021462657777777776	0.9545424579891726	0.04545754201082755	912.2917477410357	3575598.2916727634	1	0.7711621196269614	0.2288378803730387	0.9545424579891726	0.04545754201082755
16916.64285714286	0.0021462657777777776	0.9435011765438049	0.05649882345619504	876.2378706604763	3434092.867484094	1	0.7021613822555282	0.2978386177444719	0.9435011765438049	0.05649882345619504
16916.64285714286	0.0021462657777777776	0.9319874316392327	0.06801256836076741	843.7410191612294	3306269.5184544385	1	0.6306304855214298	0.3693695144785702	0.9319874316392327	0.06801256836076741
16916.64285714286	0.0021462657777777776	0.9199702347479396	0.08002976525206035	814.2346013580244	3189899.159083684	1	0.5590134407673552	0.4409865592326449	0.9199702347479396	0.08002976525206035
16916.64285714286	0.0021462657777777776	0.907415826749346	0.09258417325065416	787.2704268719102	3083211.4253621204	1	0.48953546226382205	0.5104645377361781	0.907415826749346	0.09258417325065416
16916.64285714286	0.0021462657777777776	0.8942873612123969	0.10571263878760319	762.4869218147265	2984770.2978811725	1	0.4239946240557035	0.5760053759442965	0.8942873612123969	0.10571263878760319
16916.64285714286	0.0021462657777777776	0.8805445432153516	0.11945545678464838	739.5906876176003	2893401.949572245	1	0.3636615581092274	0.6363384418907726	0.8805445432153516	0.11945545678464838
16916.64285714286	0.0021462657777777776	0.8661432162459994	0.1338567837540006	718.3386517352527	2808124.4431569004	1	0.3092719874932104	0.6907280125067895	0.8661432162459994	0.1338567837540006
16916.64285714286	0.0021462657777777776	0.851034888261239	0.14896511173876117	698.5297525649347	2728114.9109116923	1	0.26109721205548697	0.738902787944513	0.851034888261239	0.14896511173876117
16916.64285714286	0.0019842586666666668	0.9651397724218261	0.034860227578173995	952.7205301086472	4042763.0143278227	1	0.8352870601863165	0.16471293981368346	0.9651397724218261	0.034860227578173995
16916.64285714286	0.0019842586666666668	0.9545424579891726	0.04545754201082755	912.3918660117087	3871707.7838769318	1	0.7712224490784457	0.22877755092155433	0.9545424579891726	0.04545754201082755
