U	v	Z1	Z2	T	P	vf	c
20055.79473684211	0.000311663	0.8984975806358584	0.10150241936414162	841.5965955219745	24601660.701043528	1	542.5292419275403
20055.79473684211	0.000311663	0.8830508312474724	0.11694916875252763	812.1100171894032	23722467.154594097	1	524.5495203165483
20055.79473684211	0.000311663	0.8667634898253814	0.13323651017461854	785.1766414148335	22902782.71910737	1	507.4658986518973
20055.79473684211	0.000311663	0.8495650212656269	0.15043497873437298	760.448752114731	22131421.611463293	1	491.1136484089958
20055.79473684211	0.000311663	0.8313767717996289	0.16862322820037112	737.6420876623471	21398747.89496989	1	475.3525610531788
20055.79473684211	0.000311663	0.812110766302886	0.18788923369711402	716.523708471582	20696310.82441527	1	460.0612694789511
20055.79473684211	0.000311663	0.7916682852772232	0.2083317147227767	696.8999810270521	20016461.037667453	1	445.131943926195
20055.79473684211	0.000311663	0.7699381729338454	0.23006182706615466	678.6098990734	19352120.049491446	1	430.4669847801136
20055.79473684211	0.000311663	0.7467948151684946	0.25320518483150534	661.5179992185411	18696515.442238383	1	415.9755746035301
20055.79473684211	0.000311663	0.7220957097616791	0.27790429023832103	645.5107847866539	18043013.618025016	1	401.57145006280535
20055.79473684211	0.000311663	0.6956785295267891	0.30432147047321095	630.4923822547399	17384903.31574749	1	387.1702396774637
20055.79473684211	0.000311663	0.66735755051062	0.33264244948938004	616.3815506132223	16715198.285609702	1	372.6870655173161
20055.79473684211	0.000311663	0.6369192791046521	0.36308072089534793	603.110694003699	16026483.667981707	1	358.03466553501386
20055.79473684211	0.000311663	0.6041170603127803	0.3958829396872197	590.6230862902164	15310659.49893095	1	343.1203129999978
20055.79473684211	0.000311663	0.5686643790418372	0.4313356209581629	578.8718911200274	14558703.95173429	1	327.84282113212765
19556.384210526317	0.0024	0.9651397724218261	0.034860227578173995	1028.33783727285	3600784.3684493573	1	600.0498811679555
19556.384210526317	0.0024	0.9530583789722772	0.046941621027722785	976.917079046034	3421044.937043022	1	573.8295780274652
19556.384210526317	0.0024	0.9403982648543229	0.05960173514567711	931.6430279495897	3262544.0689974213	1	550.1933011272399
19556.384210526317	0.0024	0.927116827031392	0.07288317296860798	891.405797296732	3121397.255999263	1	528.6338191968523
19556.384210526317	0.0024	0.9131671755923291	0.08683282440767112	855.3029767079397	2994436.343706688	1	508.7584794841437
19556.384210526317	0.0024	0.8984975806358584	0.10150241936414162	822.6448777411283	2879230.2904372225	1	490.2726690778303
19556.384210526317	0.0024	0.8830508312474724	0.11694916875252763	792.8923859644062	2773868.008687657	1	472.9467925269376
19556.384210526317	0.0024	0.8667634898253814	0.13323651017461854	765.615552984445	2676813.2890730035	1	456.59661744702873
19556.384210526317	0.0024	0.8495650212656269	0.15043497873437298	740.4674408829092	2586812.838716136	1	441.07131686774426
19556.384210526317	0.0024	0.8313767717996289	0.16862322820037112	717.163391360326	2502822.842813822	1	426.2446944075134
19556.384210526317	0.0024	0.812110766302886	0.18788923369711402	695.4699685818725	2423969.316300479	1	412.0100496894178
19556.384210526317	0.0024	0.7916682852772232	0.2083317147227767	675.190938769452	2349497.28419352	1	398.27466371615014
19556.384210526317	0.0024	0.7699381729338454	0.23006182706615466	656.1624828300438	2278752.2997399457	1	384.957231363084
19556.384210526317	0.0024	0.7467948151684946	0.25320518483150534	638.2454840853451	2211150.853321416	1	371.9845997781524
19556.384210526317	0.0024	0.7220957097616791	0.27790429023832103	621.3221794095662	2146165.6693592793	1	359.2898493301194
19556.384210526317	0.0024	0.6956785295267891	0.30432147047321095	605.2906135790096	2083302.128602021	1	346.80972701147715
19556.384210526317	0.0024	0.66735755051062	0.33264244948938004	590.0643958679466	2022092.7635415792	1	334.4835861338636
19556.384210526317	0.0024	0.6369192791046521	0.36308072089534793	575.5675831694377	1962072.5852805898	1	322.25074425547564
19556.384210526317	0.0024	0.6041170603127803	0.3958829396872197	561.7352351352627	1902773.232744107	1	310.0493139911932
19556.384210526317	0.0024	0.5686643790418372	0.4313356209581629	548.5108016870648	1843703.1321362471	1	297.81375285783565
19556.384210526317	0.0022900875263157892	0.9651397724218261	0.034860227578173995	1028.3764589062216	3775706.426956735	1	600.3851081214739
19556.384210526317	0.0022900875263157892	0.9530583789722772	0.046941621027722785	976.9625990476658	3587287.0461228644	1	574.1607019059709
19556.384210526317	0.0022900875263157892	0.9403982648543229	0.05960173514567711	931.6957362935692	3421124.490324738	1	550.51952916488
19556.384210526317	0.0022900875263157892	0.927116827031392	0.07288317296860798	891.4652971483023	3273143.349250959	1	528.9540058663514
19556.384210526317	0.0022900875263157892	0.9131671755923291	0.08683282440767112	855.36913460273	3140022.352374812	1	509.07133402593973
19556.384210526317	0.0022900875263157892	0.8984975806358584	0.10150241936414162	822.7180406910642	3019213.5633498486	1	490.5768179852925
19556.384210526317	0.0022900875263157892	0.8830508312474724	0.11694916875252763	792.9728198854074	2908711.820379302	1	473.2406098374186
19556.384210526317	0.0022900875263157892	0.8667634898253814	0.13323651017461854	765.7031995346728	2806903.7867790335	1	456.87813371096263
19556.384210526317	0.0022900875263157892	0.8495650212656269	0.15043497873437298	740.562657842924	2712475.1774884504	1	441.33840396034424
19556.384210526317	0.0022900875263157892	0.8313767717996289	0.16862322820037112	717.2668867193252	2624330.733678444	1	426.49501350244105
19556.384210526317	0.0022900875263157892	0.812110766302886	0.18788923369711402	695.5816058270341	2541548.3708385946	1	412.24066304582215
19556.384210526317	0.0022900875263157892	0.7916682852772232	0.2083317147227767	675.3118113800745	2463338.0765699022	1	398.48258517474267
19556.384210526317	0.0022900875263157892	0.7699381729338454	0.23006182706615466	656.2929006965901	2389007.121029268	1	385.13877790706334
19556.384210526317	0.0022900875263157892	0.7467948151684946	0.25320518483150534	638.3863563113013	2317941.6895063403	1	372.13571908813185
19556.384210526317	0.0022900875263157892	0.7220957097616791	0.27790429023832103	621.4737709797047	2249581.4249602747	1	359.40565943758713
19556.384210526317	0.0022900875263157892	0.6956785295267891	0.30432147047321095	605.4542018679026	2183405.5457237842	1	346.88488993721865
19556.384210526317	0.0022900875263157892	0.66735755051062	0.33264244948938004	590.240611251371	2118914.2592836567	1	334.51166942635217
19556.384210526317	0.0022900875263157892	0.6369192791046521	0.36308072089534793	575.7575886131955	2055613.4535962106	1	322.22438648176944
19556.384210526317	0.0022900875263157892	0.6041170603127803	0.3958829396872197	561.9402334751733	1993001.855140578	1	309.95983979506167
19556.384210526317	0.0022900875263157892	0.5686643790418372	0.4313356209581629	548.7321053287868	1930551.9493096857	1	297.6508806975639
19556.384210526317	0.0021801750526315787	0.9651397724218261	0.034860227578173995	1028.4184510626537	3968489.609448153	1	600.7544435578324
19556.384210526317	0.0021801750526315787	0.9530583789722772	0.046941621027722785	977.0125249221903	3770511.028142006	1	574.5256628930396
19556.384210526317	0.0021801750526315787	0.9403982648543229	0.05960173514567711	931.753379959734	3595908.0817532553	1	550.8791083118989
19556.384210526317	0.0021801750526315787	0.927116827031392	0.07288317296860798	891.5305917311433	3440398.2500776174	1	529.3070615803334
19556.384210526317	0.0021801750526315787	0.9131671755923291	0.08683282440767112	855.4418181706019	3300489.723212373	1	509.4164312607877
19556.384210526317	0.0021801750526315787	0.8984975806358584	0.10150241936414162	822.7988151048243	3173507.571701431	1	490.9125568355741
19556.384210526317	0.0021801750526315787	0.8830508312474724	0.11694916875252763	793.0611933421287	3057338.525595867	1	473.5650003996521
19556.384210526317	0.0021801750526315787	0.8667634898253814	0.13323651017461854	765.7998494073653	2950289.9628925524	1	457.18924723135086
19556.384210526317	0.0021801750526315787	0.8495650212656269	0.15043497873437298	740.6672955486115	2850974.814850149	1	441.63373247181147
19556.384210526317	0.0021801750526315787	0.8313767717996289	0.16862322820037112	717.3805903151689	2758244.925608524	1	426.77210490200207
